Species;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
Acer campestre;63;22;50;12;13;10;1.0000000;0.0000000;0.0000000;0.0111111;0.0783333;0.0133333;
Acer monspessulanum;43;6;38;2;5;4;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer negundo;2;2;1;1;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer opalus;10;2;1;1;9;1;1.0000000;0.0000000;0.0222222;0.0000000;0.1111111;0.0000000;
Acer platanoides;40;20;27;10;13;10;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0285714;
Acer pseudoplatanus;8;3;3;2;5;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Acer saccharinum;0;0;0;0;0;0;null;null;null;null;null;null;
Aesculus hippocastanum;45;15;34;8;11;7;1.0000000;0.0185185;0.0000000;0.0555556;0.1666667;0.0000000;
Ailanthus altissima;15;10;7;5;8;5;1.0000000;0.0333333;0.0000000;0.0000000;0.0000000;0.0000000;
Albizia julibrissin;30;2;28;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Alnus cordata;0;0;0;0;0;0;null;null;null;null;null;null;
Alnus glutinosa;10;3;3;2;7;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0714286;0.1428571;
Arbutus unedo;38;6;36;4;2;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Betula pendula;9;3;6;2;3;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0666667;
Betula pubescens;0;0;0;0;0;0;null;null;null;null;null;null;
Betula utilis var. jacquemontii;0;0;0;0;0;0;null;null;null;null;null;null;
Broussonetia papyrifera;40;3;35;2;5;1;1.0000000;0.0000000;0.0000000;0.2000000;0.0000000;0.0000000;
Buddleja davidii;0;0;0;0;0;0;null;null;null;null;null;null;
Buxus sempervirens;0;0;0;0;0;0;null;null;null;null;null;null;
Capparis spinosa;0;0;0;0;0;0;null;null;null;null;null;null;
Carpinus betulus;9;2;2;1;7;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0238095;0.0000000;
Castanea sativa;6;2;4;1;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Celtis australis;66;18;53;10;13;8;1.0000000;0.0000000;0.0000000;0.0833333;0.0000000;0.0000000;
Cerasus mahaleb;0;0;0;0;0;0;null;null;null;null;null;null;
Cercis siliquastrum;102;21;84;11;18;10;1.0000000;0.0208333;0.0000000;0.0000000;0.0000000;0.0300926;
Colutea arborescens;0;0;0;0;0;0;null;null;null;null;null;null;
Cornus mas;6;3;5;2;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Cornus sanguinea;3;3;2;2;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.5000000;
Corylus avellana;61;10;49;5;12;5;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Cotinus coggygria;26;7;21;4;5;3;1.0000000;0.0000000;0.0555556;0.0000000;0.0000000;0.0000000;
Crataegus azarolus;43;1;43;1;0;0;null;null;null;null;null;null;
Crataegus laevigata;0;0;0;0;0;0;null;null;null;null;null;null;
Crataegus monogyna;63;15;54;8;9;7;1.0000000;0.0000000;0.0000000;0.0000000;0.0125000;0.0000000;
Daphne cneorum;0;0;0;0;0;0;null;null;null;null;null;null;
Diospyros kaki;40;10;34;5;6;5;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Elaeagnus angustifolia;0;0;0;0;0;0;null;null;null;null;null;null;
Eriobotrya japonica;43;4;41;3;2;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Euonymus europaeus;0;0;0;0;0;0;null;null;null;null;null;null;
Euonymus latifolius;1;1;1;1;0;0;null;null;null;null;null;null;
Euphorbia characias;0;0;0;0;0;0;null;null;null;null;null;null;
Fagus sylvatica;9;4;6;2;3;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Ficus carica;28;4;17;3;11;1;1.0000000;0.0000000;0.0787879;0.0000000;0.0000000;0.0000000;
Frangula dodonei;0;0;0;0;0;0;null;null;null;null;null;null;
Fraxinus angustifolia;38;5;35;3;3;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Fraxinus excelsior;13;5;9;3;4;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0500000;
Fraxinus ornus;30;8;25;4;5;4;1.0000000;0.0000000;0.0000000;0.0000000;0.0208333;0.0000000;
Ginkgo biloba;63;5;61;3;2;2;1.0000000;0.0000000;0.2500000;0.0000000;0.0000000;0.0000000;
Gleditsia triacanthos;8;5;6;3;2;2;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Hedera helix;65;7;27;4;38;3;1.0000000;0.0166667;0.0000000;0.0464286;0.0444444;0.0000000;
Ilex aquifolium;48;10;40;5;8;5;1.0000000;0.0000000;0.0000000;0.1000000;0.0000000;0.0666667;
Juglans nigra;11;2;6;1;5;1;1.0000000;0.0500000;0.0000000;0.0000000;0.0000000;0.0000000;
Juglans regia;7;2;2;1;5;1;1.0000000;0.0000000;0.2666667;0.0000000;0.0000000;0.2000000;
Juniperus oxycedrus;0;0;0;0;0;0;null;null;null;null;null;null;
Koelreuteria paniculata;0;0;0;0;0;0;null;null;null;null;null;null;
Laburnum anagyroides;9;3;8;2;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Laurus nobilis;78;14;57;7;21;7;1.0000000;0.0000000;0.0025253;0.0000000;0.0166667;0.0000000;
Ligustrum vulgare;0;0;0;0;0;0;null;null;null;null;null;null;
Liquidambar styraciflua;0;0;0;0;0;0;null;null;null;null;null;null;
Liriodendron tulipifera;0;0;0;0;0;0;null;null;null;null;null;null;
Magnolia grandiflora;51;12;41;6;10;6;1.0000000;0.0277778;0.0000000;0.0092593;0.0166667;0.1250000;
Malus sylvestris;0;0;0;0;0;0;null;null;null;null;null;null;
Melia azedarach;7;2;6;1;1;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
Mespilus germanica;10;2;1;1;9;1;1.0000000;0.0000000;0.0000000;0.0555556;0.0000000;0.0000000;
Morus alba;0;0;0;0;0;0;null;null;null;null;null;null;
Morus nigra;0;0;0;0;0;0;null;null;null;null;null;null;
Nerium oleander;86;26;71;14;15;12;1.0000000;0.0000000;0.0000000;0.0000000;0.0833333;0.0208333;
Olea europaea;47;12;36;6;11;6;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
